NOI320.0,GPA.182,RC2.25,RC272.43,XR2.88,XR273.11,RCAA-0.70,XR+-0.08,RCWIN-0.08,XRWIN-0.01,BABIP.136
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.021,31.00,5.17,0.207,14.50,0.241,0.500,0.00,29.0%,
