HQS率50.0%,SQS率50.0%,被打率.198,被BABIP.222,被出塁率.253,被長打率.309,K/BB2.77,K/95.95,BB/92.15,HR/90.68,GO/AO0.76,援護率4.15,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.19,84.3%,18.51,2.14,22.53,570,0.0,156,72,0.0,0,0,0,
