球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,866,40.7%,143.1,39,233,159,282,49.8%,11.1%,0.251,179,45,5,32,12,2
チェンジアップ,298,14.0%,129.0,49,50,49,93,49.7%,31.6%,0.231,78,18,2,22,1,0
カットボール,288,13.5%,135.3,17,45,54,114,40.3%,13.2%,0.302,63,19,0,8,10,1
ツーシーム,229,10.8%,137.7,15,39,38,64,40.2%,11.9%,0.288,80,23,4,7,4,1
スライダー,225,10.6%,126.9,32,41,23,84,42.7%,32.0%,0.258,62,16,3,18,1,0
フォーク,146,6.9%,133.6,25,7,24,68,38.4%,35.2%,0.114,35,4,0,14,2,0
カーブ,77,3.6%,118.3,7,18,2,41,35.1%,38.9%,0.444,9,4,0,0,1,0
