アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,138,35.9%,安打,129,75.9%
フライ,135,35.2%,四死球,36,21.2%
空三振,78,20.3%,失策出塁,4,2.4%
見三振,23,6.0%,野選,1,0.6%
犠打,10,2.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
