球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,284,42.9%,147.1,16,47,53,104,40.8%,12.0%,.206,68,14,1,9,7,1
スライダー,82,12.4%,129.2,10,21,10,29,50.0%,31.3%,.118,17,2,0,5,0,0
フォーク,80,12.1%,135.2,23,6,16,25,56.3%,46.9%,.111,18,2,0,10,0,0
カットボール,69,10.4%,138.2,11,6,17,21,49.3%,26.2%,.143,14,2,0,2,3,1
チェンジアップ,44,6.6%,129.1,8,8,8,14,54.5%,36.4%,.273,11,3,0,6,0,0
カーブ,30,4.5%,116.4,4,8,2,10,46.7%,33.3%,.250,8,2,1,2,1,0
スプリット,22,3.3%,139.3,4,2,5,6,50.0%,28.6%,.143,7,1,0,2,1,0
ツーシーム,17,2.6%,146.0,1,0,4,3,29.4%,7.1%,.286,7,2,0,0,0,0
シュート,14,2.1%,145.1,1,0,3,7,28.6%,14.3%,.000,3,0,0,0,0,1
ナックルカーブ,8,1.2%,130.9,3,3,0,2,75.0%,100.0%,.000,3,0,0,3,0,0
シンカー,6,0.9%,133.8,0,2,0,2,33.3%,0.0%,.000,2,0,0,0,1,0
縦スライダー,4,0.6%,129.5,1,2,0,1,75.0%,100.0%,-,0,0,0,0,0,0
パワーカーブ,1,0.2%,121.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
ワンシーム,1,0.2%,147.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
