打率.177,試合54,打席186,打数158,得点9,安打28,内安3,内安率10.7,２Ｂ3,３Ｂ1,本塁2,HR勝敗1-1-0,塁打39,打点10,三振39
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
13,0,3,9,3,2,2,50.0,4,0,1,.158,.249,.247,.495
