左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
28.6% (2),28.6% (2),28.6% (2),14.3% (1),14.3% (1),14.3% (1),57.1% (4),57.1% (4),57.1% (4)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
- (0),- (0),28.6% (2),- (0),- (0),14.3% (1),- (0),- (0),57.1% (4)
