連続項目,フラグ (現状値 / 最高値)
安打,0打席 / 0打席
本塁打,0打席 / 0打席
無安打,9打席 / 9打席
三振,2打席 / 2打席
無三振,0打席 / 4打席
出塁,0打席 / 1打席
