NOI111.1,GPA.050,RC-0.85,RC27-2.56,XR-0.77,XR27-2.32,RCAA-1.74,XR+-1.67,RCWIN-0.20,XRWIN-0.19,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.111,9.00,3.00,0.000,-,0.125,0.111,-,44.4%,
