HQS率-,SQS率-,被打率.209,被BABIP.276,被出塁率.271,被長打率.277,K/BB3.69,K/99.06,BB/92.45,HR/90.38,GO/AO0.71,援護率-,IPR6.81,NHB%40.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.90,91.5%,10.71,1.24,9.10,403,5.0,0,0,47.2,7,20,43,
