条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.23,98,87,20,4,0,2,28,7,1,3,0
対左打者,0.189,98,90,17,2,0,0,20,6,1,1,0
