防御率1.32,試合49,先発0,救援49,連投(試)0,連投(日)0,勝利1,敗戦1,HLD12,Ｓ13,ＨＰ13,ＳＰ14,救勝1,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,47.2,196,736,15.4,37,2,48,13,5,2,2,0,7,7,1.05,-
