HQS率-,SQS率-,被打率.277,被BABIP.321,被出塁率.343,被長打率.383,K/BB2.00,K/96.17,BB/93.09,HR/90.39,GO/AO1.36,援護率-,IPR3.89,NHB%33.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.98,86.7%,2.47,0.29,2.71,90,3.2,0,0,23.1,6,9,23,
