球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,141,37.8%,133.5,11,23,28,49,44.0%,15.9%,.189,37,7,1,7,4,1
スライダー,136,36.5%,123.9,23,15,28,41,48.5%,28.8%,.297,37,11,0,9,1,1
ツーシーム,93,24.9%,134.0,5,12,20,36,39.8%,11.1%,.400,20,8,0,0,1,0
カーブ,2,0.5%,106.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
チェンジアップ,1,0.3%,110.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
