防御率2.08,試合49,先発0,救援49,連投(試)0,連投(日)0,勝利3,敗戦3,HLD17,Ｓ1,ＨＰ20,ＳＰ4,救勝3,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,47.2,201,794,16.7,46,3,31,17,0,1,1,0,12,11,1.32,-
