種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,0.75,13,0,13,1,1,5,0,6,1,1,1,12.0,11,0,8,4,1,1,1,1.25,0.25,-,12.0
Nighter,2.52,36,0,36,2,2,12,1,14,3,2,2,35.2,35,3,23,13,0,11,10,1.35,0.265,-,3.24
