HQS率-,SQS率-,被打率.261,被BABIP.301,被出塁率.328,被長打率.330,K/BB1.82,K/95.85,BB/93.21,HR/90.57,GO/AO1.78,援護率-,IPR3.97,NHB%26.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.39,87.0%,5.71,0.66,5.10,353,5.1,0,0,47.2,12,13,42,
