NOI376.1,GPA.196,RC14.13,RC272.79,XR14.15,XR272.79,RCAA-2.88,XR+-2.95,RCWIN-0.34,XRWIN-0.35,BABIP.264
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.53,0.074,10.53,5.59,0.056,-,0.250,0.548,0.00,27.4%,
