防御率4.74,試合35,先発0,救援35,連投(試)0,連投(日)0,勝利0,敗戦2,HLD5,Ｓ1,ＨＰ5,ＳＰ1,救勝0,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,38.0,173,655,17.2,51,2,37,10,2,1,1,0,22,20,1.61,-
