HQS率-,SQS率-,被打率.327,被BABIP.415,被出塁率.369,被長打率.442,K/BB3.70,K/98.76,BB/92.37,HR/90.47,GO/AO1.13,援護率-,IPR1.73,NHB%22.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.22,67.6%,-8.21,-0.97,-7.45,174,15.0,0,0,38.0,22,8,22,
