NOI380.7,GPA.204,RC21.62,RC272.70,XR22.77,XR272.85,RCAA-5.57,XR+-4.55,RCWIN-0.66,XRWIN-0.54,BABIP.280
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.041,22.00,4.61,0.095,52.80,0.133,0.471,0.00,28.0%,
