NOI500.5,GPA.262,RC7.43,RC275.02,XR7.38,XR274.98,RCAA1.64,XR+1.55,RCWIN0.19,XRWIN0.18,BABIP.375
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.54,0.081,8.71,4.69,0.074,54.00,0.167,0.625,0.00,34.4%,
