NOI398.6,GPA.212,RC29.56,RC273.14,XR31.48,XR273.35,RCAA-4.60,XR+-3.08,RCWIN-0.53,XRWIN-0.36,BABIP.272
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.37,0.052,14.46,5.34,0.095,45.29,0.167,0.518,0.00,27.7%,
