連続項目,フラグ (現状値 / 最高値)
得点,0試合 / 3試合
安打,0試合 / 10試合
無安打,3試合 / 5試合
打点,0試合 / 2試合
本塁打,0試合 / 1試合
出塁,0試合 / 10試合
