NOI600.5,GPA.337,RC46.45,RC278.83,XR47.08,XR278.95,RCAA25.15,XR+25.68,RCWIN2.96,XRWIN3.02,BABIP.279
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.50,0.107,7.00,3.50,0.390,8.50,0.572,1.151,6.77,52.7%,
