防御率3.17,試合50,先発0,救援50,連投(試)0,連投(日)0,勝利2,敗戦4,HLD33,Ｓ0,ＨＰ35,ＳＰ2,救勝2,救敗4,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,48.1,204,680,14.1,50,1,27,16,4,1,0,0,18,17,1.37,-
