HQS率-,SQS率-,被打率.281,被BABIP.322,被出塁率.340,被長打率.348,K/BB1.69,K/95.03,BB/92.98,HR/90.19,GO/AO1.64,援護率-,IPR2.69,NHB%34.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.69,74.7%,-0.04,-0.00,-0.68,495,7.1,0,0,48.1,18,17,41,
