打率.225,試合132,打席450,打数400,得点42,安打90,内安11,内安率12.2,２Ｂ16,３Ｂ3,本塁6,HR勝敗4-1-0,塁打130,打点36,三振56
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
33,1,3,9,5,9,4,69.2,3,0,11,.221,.286,.325,.611
