左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
49.7% (167),49.7% (167),49.7% (167),20.5% (69),20.5% (69),20.5% (69),29.8% (100),29.8% (100),29.8% (100)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
56.0% (47),100.0% (6),46.3% (114),28.6% (24),0.0% (0),18.3% (45),15.5% (13),0.0% (0),35.4% (87)
