NOI394.0,GPA.210,RC36.36,RC272.90,XR38.06,XR273.03,RCAA-7.94,XR+-6.76,RCWIN-0.92,XRWIN-0.78,BABIP.245
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.59,0.061,13.64,8.04,0.100,66.67,0.195,0.526,7.20,21.1%,
