打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,99,29,0.293,1,11,6,1,1,0.33
2打席目,99,19,0.192,2,15,6,2,0,0.238
3打席目,91,18,0.198,2,14,10,3,0,0.277
4打席目,69,18,0.261,1,12,10,1,4,0.337
5打席目以上,23,2,0.087,0,4,3,1,0,0.192
