防御率0.17,試合53,先発0,救援53,連投(試)0,連投(日)0,勝利1,敗戦0,HLD36,Ｓ9,ＨＰ37,ＳＰ10,救勝1,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,53.0,199,752,14.2,37,0,42,7,2,1,2,0,1,1,0.83,-
