球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,122,40.5%,146.4,18,19,25,39,50.8%,28.1%,.214,28,6,1,8,2,2
スライダー,45,15.0%,129.2,3,13,10,9,57.8%,13.0%,.083,12,1,0,2,0,0
カットボール,34,11.3%,137.8,6,5,11,5,64.7%,25.0%,.333,9,3,0,2,0,0
フォーク,25,8.3%,135.1,1,3,3,10,28.0%,8.3%,.222,9,2,1,1,0,0
チェンジアップ,22,7.3%,132.9,2,2,3,8,31.8%,16.7%,.000,8,0,0,2,1,0
カーブ,18,6.0%,117.2,1,8,0,9,50.0%,100.0%,-,0,0,0,0,0,0
スプリット,14,4.7%,141.0,4,0,4,4,57.1%,40.0%,.000,4,0,0,2,0,0
ツーシーム,10,3.3%,147.1,0,3,2,2,50.0%,0.0%,.667,3,2,0,0,0,0
シュート,7,2.3%,142.1,1,0,3,3,57.1%,25.0%,-,0,0,0,0,0,0
ナックルカーブ,1,0.3%,128.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
シンカー,1,0.3%,127.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
スクリュー,1,0.3%,129.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
パーム,1,0.3%,115.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
