NOI460.1,GPA.248,RC50.53,RC274.66,XR50.12,XR274.62,RCAA9.87,XR+8.99,RCWIN1.14,XRWIN1.04,BABIP.369
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.052,16.52,3.39,0.138,31.33,0.242,0.692,14.40,38.5%,
