打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,87,26,0.299,4,26,11,0,0,0.378
2打席目,90,24,0.267,1,24,5,2,1,0.302
3打席目,89,21,0.236,3,33,5,0,0,0.277
4打席目,70,20,0.286,2,21,6,2,1,0.338
5打席目以上,30,8,0.267,1,14,0,1,0,0.267
