左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
55.0% (138),55.0% (138),55.0% (138),24.7% (62),24.7% (62),24.7% (62),20.3% (51),20.3% (51),20.3% (51)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
60.0% (54),58.3% (7),51.7% (77),28.9% (26),8.3% (1),23.5% (35),11.1% (10),33.3% (4),24.8% (37)
