条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.333,49,42,14,0,0,1,8,7,0,0,0
対左投手,0.167,12,12,2,1,0,0,5,0,0,0,0
