球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,35,59.3%,148.2,4,7,7,10,51.4%,22.2%,0.222,9,2,0,3,0,0
フォーク,13,22.0%,135.5,4,1,4,2,69.2%,40.0%,0.25,4,1,0,2,0,0
カーブ,6,10.2%,120.8,0,3,1,1,66.7%,0.0%,1.0,1,1,0,0,0,0
スライダー,5,8.5%,128.8,1,0,1,2,40.0%,33.3%,0.5,2,1,0,1,0,0
