打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,18,1,.056,0,6,2,0,0,0.15
2打席目,20,5,.250,1,5,0,0,0,0.25
3打席目,19,6,.316,0,3,0,0,1,0.3
4打席目,13,2,.154,0,5,1,0,0,0.214
5打席目以上,0,0,-,0,0,0,0,0,
