NOI328.7,GPA.169,RC2.52,RC271.06,XR2.77,XR271.17,RCAA-5.46,XR+-5.30,RCWIN-0.63,XRWIN-0.61,BABIP.190
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.78,0.093,11.57,9.00,0.042,-,0.139,0.375,-,19.8%,
