HQS率-,SQS率-,被打率.270,被BABIP.354,被出塁率.318,被長打率.387,K/BB4.75,K/99.80,BB/92.06,HR/90.69,GO/AO1.12,援護率-,IPR3.27,NHB%41.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.33,83.9%,3.00,0.35,4.28,537,9.0,0,0,52.1,16,26,52,
