HQS率18.2%,SQS率18.2%,被打率.242,被BABIP.275,被出塁率.279,被長打率.365,K/BB4.63,K/96.55,BB/91.41,HR/90.89,GO/AO1.43,援護率3.38,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.13,78.5%,1.92,0.23,3.96,423,0.0,128,48,0.0,0,0,0,
