HQS率-,SQS率-,被打率.435,被BABIP.526,被出塁率.536,被長打率.565,K/BB0.80,K/97.71,BB/99.64,HR/90.00,GO/AO3.50,援護率-,IPR0.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.27,53.3%,-5.31,-0.62,-5.46,24,2.0,0,0,4.2,7,0,3,
