球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,432,37.4%,146.7,32,59,115,130,47.7%,13.2%,.209,110,23,1,16,14,0
スライダー,197,17.1%,129.0,19,34,29,80,41.6%,22.9%,.263,38,10,1,5,1,0
フォーク,145,12.6%,136.3,13,10,30,60,36.6%,17.3%,.237,38,9,0,6,4,0
カットボール,101,8.7%,136.9,2,16,21,40,38.6%,4.4%,.273,22,6,2,1,2,1
カーブ,74,6.4%,116.2,8,17,4,34,39.2%,34.8%,.250,16,4,0,5,0,0
チェンジアップ,55,4.8%,129.5,8,8,13,19,52.7%,28.6%,.167,6,1,0,0,0,0
ツーシーム,46,4.0%,140.6,2,4,11,16,37.0%,7.7%,.308,13,4,2,0,0,0
スプリット,45,3.9%,140.9,10,0,9,16,42.2%,34.5%,.154,13,2,0,3,0,0
ナックルカーブ,17,1.5%,128.3,0,5,0,8,29.4%,0.0%,.500,4,2,0,0,0,0
シュート,16,1.4%,142.7,0,4,2,5,37.5%,0.0%,.400,5,2,0,0,1,0
シンカー,13,1.1%,133.5,2,1,2,5,38.5%,28.6%,.667,3,2,0,0,0,0
スローカーブ,4,0.3%,86.3,0,1,1,2,50.0%,0.0%,-,0,0,0,0,0,0
パーム,4,0.3%,113.0,1,0,1,1,50.0%,33.3%,.000,1,0,0,0,0,0
パワーカーブ,3,0.3%,122.7,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
ワンシーム,2,0.2%,145.5,0,1,1,0,100.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,1,0.1%,135.0,0,0,0,1,0.0%,-%,-,0,0,0,0,1,0
