HQS率-,SQS率-,被打率.273,被BABIP.273,被出塁率.333,被長打率.364,K/BB0.00,K/90.00,BB/93.38,HR/90.00,GO/AO1.00,援護率-,IPR2.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.77,75.0%,-0.03,-0.00,-0.12,8,1.2,0,0,2.2,1,0,1,
