NOI370.6,GPA.191,RC21.67,RC272.37,XR23.04,XR272.52,RCAA-10.17,XR+-8.97,RCWIN-1.20,XRWIN-1.06,BABIP.269
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.39,0.081,12.41,4.86,0.039,284.00,0.130,0.445,1.33,29.0%,
