打率.208,試合112,打席335,打数284,得点24,安打59,内安7,内安率11.9,２Ｂ6,３Ｂ1,本塁1,HR勝敗1-0-0,塁打70,打点19,三振69
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
27,1,6,16,2,2,3,40.0,8,0,1,.261,.288,.246,.535
