HQS率-,SQS率-,被打率.222,被BABIP.305,被出塁率.280,被長打率.320,K/BB4.36,K/910.23,BB/92.35,HR/90.50,GO/AO0.91,援護率-,IPR4.88,NHB%27.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.97,87.6%,8.94,1.03,7.13,361,14.1,0,0,53.2,11,10,29,
