HQS率12.5%,SQS率12.5%,被打率.218,被BABIP.277,被出塁率.295,被長打率.321,K/BB2.56,K/98.79,BB/93.43,HR/90.64,GO/AO1.02,援護率3.13,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.89,85.5%,4.25,0.50,2.87,156,0.0,46,16,0.0,0,0,0,
