HQS率-,SQS率-,被打率.255,被BABIP.286,被出塁率.323,被長打率.418,K/BB2.00,K/97.36,BB/93.68,HR/91.23,GO/AO0.43,援護率-,IPR2.93,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.10,87.2%,0.45,0.05,-0.05,44,2.2,0,0,14.2,5,4,12,
