左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
23.4% (36),23.4% (36),23.4% (36),20.1% (31),20.1% (31),20.1% (31),56.5% (87),56.5% (87),56.5% (87)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
21.6% (8),0.0% (0),24.8% (28),21.6% (8),0.0% (0),20.4% (23),56.8% (21),100.0% (4),54.9% (62)
