打率.207,試合68,打席224,打数198,得点13,安打41,内安8,内安率19.5,２Ｂ8,３Ｂ0,本塁4,HR勝敗4-0-0,塁打61,打点18,三振42
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
18,1,4,3,1,3,0,100.0,0,3,1,.200,.285,.308,.593
