NOI399.6,GPA.209,RC27.91,RC273.00,XR28.48,XR273.06,RCAA-6.54,XR+-6.38,RCWIN-0.76,XRWIN-0.74,BABIP.301
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.38,0.060,14.00,5.38,0.047,-,0.126,0.490,0.00,25.7%,
