打率.243,試合93,打席350,打数317,得点22,安打77,内安3,内安率3.9,２Ｂ15,３Ｂ0,本塁0,HR勝敗0,塁打92,打点25,三振65
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
25,2,4,0,4,1,1,50.0,7,0,6,.237,.303,.290,.593
