NOI389.9,GPA.190,RC2.15,RC271.87,XR2.50,XR272.18,RCAA-2.04,XR+-1.70,RCWIN-0.24,XRWIN-0.20,BABIP.185
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.29,0.194,4.89,6.29,-0.000,-,0.206,0.419,-,36.4%,
