NOI289.2,GPA.142,RC0.56,RC270.47,XR0.73,XR270.61,RCAA-3.34,XR+-3.19,RCWIN-0.39,XRWIN-0.38,BABIP.190
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.46,0.132,6.83,3.15,0.000,-,0.176,0.323,-,46.3%,
