打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,13,4,.308,0,1,0,0,0,0.308
2打席目,12,2,.167,0,3,1,0,0,0.231
3打席目,11,2,.182,0,1,1,0,0,0.25
4打席目,8,3,.375,0,1,1,0,0,0.444
5打席目以上,0,0,-,0,0,0,0,0,
