NOI436.6,GPA.238,RC5.99,RC273.85,XR5.95,XR273.82,RCAA0.38,XR+0.27,RCWIN0.04,XRWIN0.03,BABIP.297
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.053,14.25,4.07,0.170,26.50,0.245,0.619,0.00,35.1%,
