条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.25,31,28,7,2,0,1,8,3,0,0,0
対左投手,0.24,26,25,6,1,0,1,6,1,0,0,0
