種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,7.62,3,3,0,1,2,0,0,0,0,0,0,13.0,14,1,8,8,2,14,11,1.69,0.28,4.2,-
Nighter,3.38,12,11,1,6,6,0,0,1,1,1,0,69.1,56,3,53,22,2,27,26,1.13,0.224,3.95,2.00
