HQS率14.3%,SQS率14.3%,被打率.233,被BABIP.277,被出塁率.309,被長打率.327,K/BB2.03,K/96.67,BB/93.28,HR/90.44,GO/AO1.01,援護率3.99,IPR2.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.12,64.0%,-11.11,-1.31,-9.81,317,2.0,88,39,2.0,1,0,0,
