0
最終登板
連投状況
9/26
試:0連投中日:0連投中
登録状況
△5/14登録
▼5/15抹消
△5/25登録
▼5/26抹消
△6/5登録
▼8/21抹消
△9/14登録
▼9/15抹消
△9/26登録
▼9/27抹消
