左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
49.6% (123),49.6% (123),49.6% (123),24.2% (60),24.2% (60),24.2% (60),26.2% (65),26.2% (65),26.2% (65)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
47.6% (39),100.0% (2),50.0% (82),29.3% (24),0.0% (0),22.0% (36),23.2% (19),0.0% (0),28.0% (46)
