NOI465.6,GPA.242,RC43.55,RC274.20,XR42.15,XR274.06,RCAA4.20,XR+2.60,RCWIN0.49,XRWIN0.31,BABIP.332
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.58,0.110,7.81,4.55,0.079,170.00,0.235,0.640,2.00,35.3%,
